user_id,song_id,play_count,title,release,artist_name,year,text
6958,447,1,Daisy And Prudence,Distillation,Erin McKeown,2000,Daisy And Prudence Distillation Erin McKeown
6958,512,1,The Ballad of Michael Valentine,Sawdust,The Killers,2004,The Ballad of Michael Valentine Sawdust The Killers
6958,549,1,I Stand Corrected (Album),Vampire Weekend,Vampire Weekend,2007,I Stand Corrected (Album) Vampire Weekend Vampire Weekend
6958,703,1,They Might Follow You,Tiny Vipers,Tiny Vipers,2007,They Might Follow You Tiny Vipers Tiny Vipers
6958,719,1,Monkey Man,You Know I'm No Good,Amy Winehouse,2007,Monkey Man You Know I'm No Good Amy Winehouse
6958,892,1,Bleeding Hearts,Hell Train,Soltero,0,Bleeding Hearts Hell Train Soltero
6958,1050,5,Wet Blanket,Old World Underground_ Where Are You Now?,Metric,2003,Wet Blanket Old World Underground_ Where Are You Now? Metric
6958,1480,1,Fast As I Can,Monday Morning Cold,Erin McKeown,2000,Fast As I Can Monday Morning Cold Erin McKeown
6958,1671,2,Sleeping In (Album),Give Up,Postal Service,2003,Sleeping In (Album) Give Up Postal Service
6958,1752,1,Gimme Sympathy,Gimme Sympathy,Metric,2009,Gimme Sympathy Gimme Sympathy Metric
6958,1756,1,You Mustn't Kick It Around,Distillation,Erin McKeown,2000,You Mustn't Kick It Around Distillation Erin McKeown
6958,1787,2,Help I'm Alive,Fantasies,Metric,2009,Help I'm Alive Fantasies Metric
6958,1818,1,Teenager,Modapop,Camera Obscura,0,Teenager Modapop Camera Obscura
6958,2107,1,Stadium Love,Fantasies,Metric,2009,Stadium Love Fantasies Metric
6958,2289,1,Satellite Mind,Fantasies,Metric,2009,Satellite Mind Fantasies Metric
6958,2304,1,Daddy's Eyes,Sawdust,The Killers,2006,Daddy's Eyes Sawdust The Killers
6958,2425,1,Señorita,Justified,Justin Timberlake,2002,Señorita Justified Justin Timberlake
6958,2501,1,Camaro,Because Of The Times,Kings Of Leon,2007,Camaro Because Of The Times Kings Of Leon
6958,2701,1,Tron,Antidotes,Foals,2008,Tron Antidotes Foals
6958,2898,1,Twilight Galaxy,Fantasies,Metric,2009,Twilight Galaxy Fantasies Metric
6958,2994,1,Elephant Gun,The Gulag Orkestar,Beirut,2006,Elephant Gun The Gulag Orkestar Beirut
6958,3074,1,Catch You Baby (Steve Pitron & Max Sanna Radio Edit),Catch You Baby,Lonnie Gordon,0,Catch You Baby (Steve Pitron & Max Sanna Radio Edit) Catch You Baby Lonnie Gordon
6958,3491,1,Bling (Confession Of A King),Sam's Town,The Killers,2006,Bling (Confession Of A King) Sam's Town The Killers
6958,3551,1,You're A Cad,Ray Guns Are Not Just The Future,the bird and the bee,2009,You're A Cad Ray Guns Are Not Just The Future the bird and the bee
6958,3718,2,The Penalty,The Flying Club Cup,Beirut,2007,The Penalty The Flying Club Cup Beirut
6958,3801,1,Baby,Ray Guns Are Not Just The Future,the bird and the bee,2009,Baby Ray Guns Are Not Just The Future the bird and the bee
6958,3907,1,What's In The Middle,Ray Guns Are Not Just The Future,the bird and the bee,2009,What's In The Middle Ray Guns Are Not Just The Future the bird and the bee
6958,5193,1,Goodnight Bad Morning,Midnight Boom,The Kills,2008,Goodnight Bad Morning Midnight Boom The Kills
6958,5340,1,Postcards From Italy,The Gulag Orkestar,Beirut,2005,Postcards From Italy The Gulag Orkestar Beirut
6958,5441,1,Where The White Boys Dance,Sam's Town,The Killers,2006,Where The White Boys Dance Sam's Town The Killers
6958,5566,5,The Bachelor and the Bride,Her Majesty The Decemberists,The Decemberists,2003,The Bachelor and the Bride Her Majesty The Decemberists The Decemberists
6958,5894,1,Caring Is Creepy,Garden State - Music From The Motion Picture,The Shins,2001,Caring Is Creepy Garden State - Music From The Motion Picture The Shins
6958,6305,1,Rhode Island Is Famous For You,Sing You Sinners,Erin McKeown,2007,Rhode Island Is Famous For You Sing You Sinners Erin McKeown
6958,7738,1,Nantes,The Flying Club Cup,Beirut,2007,Nantes The Flying Club Cup Beirut
6958,8029,1,I CAN'T GET STARTED,It's The Time,Ron Carter,0,I CAN'T GET STARTED It's The Time Ron Carter
6958,8037,1,Gold Guns Girls,Fantasies,Metric,2009,Gold Guns Girls Fantasies Metric
6958,8425,1,Love Letter To Japan,Ray Guns Are Not Just The Future,the bird and the bee,2009,Love Letter To Japan Ray Guns Are Not Just The Future the bird and the bee
6958,9065,1,Balloons (Single version),Balloons,Foals,2007,Balloons (Single version) Balloons Foals
6958,9351,2,The Police And The Private,Live It Out,Metric,2005,The Police And The Private Live It Out Metric
27018,97,1,Harder Better Faster Stronger,Discovery,Daft Punk,2007,Harder Better Faster Stronger Discovery Daft Punk
27018,122,3,Phantom Part 1.5 (Album Version),A Cross The Universe,Justice,0,Phantom Part 1.5 (Album Version) A Cross The Universe Justice
27018,139,1,I Got Mine,Attack & Release,The Black Keys,2008,I Got Mine Attack & Release The Black Keys
27018,693,2,Us V Them,Sound Of Silver,LCD Soundsystem,2007,Us V Them Sound Of Silver LCD Soundsystem
27018,719,1,Monkey Man,You Know I'm No Good,Amy Winehouse,2007,Monkey Man You Know I'm No Good Amy Winehouse
27018,765,4,Love,Attack Decay Sustain Release,Simian Mobile Disco,2007,Love Attack Decay Sustain Release Simian Mobile Disco
27018,786,4,TTHHEE PPAARRTTYY,Justice,Justice,0,TTHHEE PPAARRTTYY Justice Justice
27018,861,1,Newjack,Justice,Justice,0,Newjack Justice Justice
27018,1118,2,Clocks,A Rush Of Blood To The Head,Coldplay,2002,Clocks A Rush Of Blood To The Head Coldplay
27018,1406,3,Hustler,Hustler,Simian Mobile Disco,2006,Hustler Hustler Simian Mobile Disco
27018,1461,5,Arcade Robot,Oi Oi oi,Boys Noize,2007,Arcade Robot Oi Oi oi Boys Noize
27018,1519,4,Deny Selected,Oi Oi oi,Boys Noize,2007,Deny Selected Oi Oi oi Boys Noize
27018,1682,3,Tuxedo Hat,One Ten Hundred Thousand Million,Octopus Project,2005,Tuxedo Hat One Ten Hundred Thousand Million Octopus Project
27018,1696,3,Tribulations,LCD Soundsystem,LCD Soundsystem,2005,Tribulations LCD Soundsystem LCD Soundsystem
27018,1907,2,Strawberry Swing,Viva La Vida - Prospekt's March Edition,Coldplay,2008,Strawberry Swing Viva La Vida - Prospekt's March Edition Coldplay
27018,1983,2,God Put A Smile Upon Your Face,A Rush Of Blood To The Head,Coldplay,2002,God Put A Smile Upon Your Face A Rush Of Blood To The Head Coldplay
27018,2187,2,Brothers & Sisters,Trouble (B-Side),Coldplay,1999,Brothers & Sisters Trouble (B-Side) Coldplay
27018,2234,1,Your Touch,Magic Potion,The Black Keys,2006,Your Touch Magic Potion The Black Keys
27018,2389,1,New York_ I Love You But You're Bringing Me Down,Sound Of Silver,LCD Soundsystem,2007,New York_ I Love You But You're Bringing Me Down Sound Of Silver LCD Soundsystem
27018,2557,4,Too Much Love,LCD Soundsystem,LCD Soundsystem,2005,Too Much Love LCD Soundsystem LCD Soundsystem
27018,3232,2,Life In Technicolor ii,Viva La Vida - Prospekt's March Edition,Coldplay,2008,Life In Technicolor ii Viva La Vida - Prospekt's March Edition Coldplay
27018,3356,1,Around The World (Radio Edit),Musique Vol 1,Daft Punk,1996,Around The World (Radio Edit) Musique Vol 1 Daft Punk
27018,3518,3,Daft Punk Is Playing At My House,Daft Punk Is Playing At My House,LCD Soundsystem,2005,Daft Punk Is Playing At My House Daft Punk Is Playing At My House LCD Soundsystem
27018,3548,5,Easy Love,The Looks,MSTRKRFT,2006,Easy Love The Looks MSTRKRFT
27018,3655,4,All Of The Champs That Ever Lived,One Ten Hundred Thousand Million,Octopus Project,2005,All Of The Champs That Ever Lived One Ten Hundred Thousand Million Octopus Project
27018,4152,2,The Scientist,The Scientist,Coldplay,2002,The Scientist The Scientist Coldplay
27018,4298,2,On Repeat,LCD Soundsystem,LCD Soundsystem,2005,On Repeat LCD Soundsystem LCD Soundsystem
27018,4377,1,Psychotic Girl,Attack & Release,The Black Keys,2004,Psychotic Girl Attack & Release The Black Keys
27018,4510,3,Let´s Buy Happiness,Oi Oi oi REMIXED,Boys Noize,2008,Let´s Buy Happiness Oi Oi oi REMIXED Boys Noize
27018,4522,2,Sparks,Parachutes,Coldplay,2000,Sparks Parachutes Coldplay
27018,4545,1,I'll Be Your Man,The Big Come Up,The Black Keys,2002,I'll Be Your Man The Big Come Up The Black Keys
27018,4653,3,Valentine,Justice,Justice,0,Valentine Justice Justice
27018,4724,5,Tortured Soul,Skream!,Skream,2006,Tortured Soul Skream! Skream
27018,4954,5,The Maestro,Check Your Head,Beastie Boys,1992,The Maestro Check Your Head Beastie Boys
27018,5023,2,In My Place,A Rush Of Blood To The Head,Coldplay,2001,In My Place A Rush Of Blood To The Head Coldplay
27018,5158,3,Thriller,The Essential Michael Jackson,Michael Jackson,1982,Thriller The Essential Michael Jackson Michael Jackson
27018,5223,5,Get Innocuous!,Sound Of Silver,LCD Soundsystem,2007,Get Innocuous! Sound Of Silver LCD Soundsystem
27018,5248,2,Someone Great,Someone Great,LCD Soundsystem,2007,Someone Great Someone Great LCD Soundsystem
27018,5305,3,Phantom,Phantom,Justice,0,Phantom Phantom Justice
27018,5345,5,Colourful,Skins,Skream,2006,Colourful Skins Skream
27018,5417,5,Thrills,LCD Soundsystem,LCD Soundsystem,2005,Thrills LCD Soundsystem LCD Soundsystem
27018,5457,3,Clock,Clock EP,Simian Mobile Disco,2007,Clock Clock EP Simian Mobile Disco
27018,5877,2,Lost!,Viva La Vida Or Death And All His Friends,Coldplay,2008,Lost! Viva La Vida Or Death And All His Friends Coldplay
27018,6079,1,Smile (Explicit Version),Alright_ Still,Lily Allen,2007,Smile (Explicit Version) Alright_ Still Lily Allen
27018,6121,1,In Person,Doll Domination 3.0,The Pussycat Dolls,2008,In Person Doll Domination 3.0 The Pussycat Dolls
27018,6148,4,Music Is Happiness,One Ten Hundred Thousand Million,Octopus Project,2005,Music Is Happiness One Ten Hundred Thousand Million Octopus Project
27018,6191,1,Recycled Air (Album),Give Up,Postal Service,2003,Recycled Air (Album) Give Up Postal Service
27018,6232,1,& Down,Oi Oi oi REMIXED,Boys Noize,2007,& Down Oi Oi oi REMIXED Boys Noize
27018,6293,2,Yellow,Yellow,Coldplay,2000,Yellow Yellow Coldplay
27018,6350,1,Every Lasting Light,Brothers,The Black Keys,2010,Every Lasting Light Brothers The Black Keys
27018,6500,3,Losing My Edge,LCD Soundsystem,LCD Soundsystem,2000,Losing My Edge LCD Soundsystem LCD Soundsystem
27018,6572,1,Something About Us,Discovery,Daft Punk,2001,Something About Us Discovery Daft Punk
27018,6618,1,Meteor,Ray Guns Are Not Just The Future,the bird and the bee,2009,Meteor Ray Guns Are Not Just The Future the bird and the bee
27018,6636,1,Strange Times,Strange Times,The Black Keys,2008,Strange Times Strange Times The Black Keys
27018,6709,2,Movement,LCD Soundsystem,LCD Soundsystem,2005,Movement LCD Soundsystem LCD Soundsystem
27018,6770,2,A Rush Of Blood To The Head,Six Feet Under - Everything Ends,Coldplay,2002,A Rush Of Blood To The Head Six Feet Under - Everything Ends Coldplay
27018,6959,1,New York City Cops,Is This It,The Strokes,2001,New York City Cops Is This It The Strokes
27018,6964,1,Is This It,Is This It,The Strokes,2001,Is This It Is This It The Strokes
27018,7210,5,Fancy Footwork,Fancy Footwork,Chromeo,2007,Fancy Footwork Fancy Footwork Chromeo
27018,7331,2,Politik,A Rush Of Blood To The Head,Coldplay,2002,Politik A Rush Of Blood To The Head Coldplay
27018,7399,2,Shiver,Parachutes,Coldplay,2000,Shiver Parachutes Coldplay
27018,7402,2,Moar Ghosts 'n' Stuff,Ghosts 'n' Stuff,Deadmau5,0,Moar Ghosts 'n' Stuff Ghosts 'n' Stuff Deadmau5
27018,7469,5,Six Feet Up,One Ten Hundred Thousand Million,Octopus Project,2005,Six Feet Up One Ten Hundred Thousand Million Octopus Project
27018,7721,2,Spies,Parachutes,Coldplay,2000,Spies Parachutes Coldplay
27018,7878,2,Don't Panic,Don't Panic,Coldplay,1999,Don't Panic Don't Panic Coldplay
27018,7977,2,Speed Of Sound,Speed Of Sound,Coldplay,2005,Speed Of Sound Speed Of Sound Coldplay
27018,8019,1,Gears,Gears,Future Rock,0,Gears Gears Future Rock
27018,8086,4,North American Scum,North American Scum,LCD Soundsystem,2007,North American Scum North American Scum LCD Soundsystem
27018,8247,1,Tighten Up,Tighten Up,The Black Keys,2010,Tighten Up Tighten Up The Black Keys
27018,8265,3,Malaria Codes,One Ten Hundred Thousand Million,Octopus Project,2005,Malaria Codes One Ten Hundred Thousand Million Octopus Project
27018,8299,4,I GOT THIS DOWN,SAMPLE AND HOLD: Attack Decay Sustain Release REMIXED,Simian Mobile Disco,2007,I GOT THIS DOWN SAMPLE AND HOLD: Attack Decay Sustain Release REMIXED Simian Mobile Disco
27018,8434,1,Howlin For You,Brothers,The Black Keys,2010,Howlin For You Brothers The Black Keys
27018,8612,2,Fix You,X & Y,Coldplay,2005,Fix You X & Y Coldplay
27018,8973,2,Safari,LP,Holy Fuck,2007,Safari LP Holy Fuck
27018,9055,3,All My Friends,All My Friends,LCD Soundsystem,2007,All My Friends All My Friends LCD Soundsystem
27018,9099,1,We Are Your Friends (Reprise) (Album Version),A Cross The Universe,Justice,0,We Are Your Friends (Reprise) (Album Version) A Cross The Universe Justice
27018,9292,2,Lovely Allen,LP,Holy Fuck,2007,Lovely Allen LP Holy Fuck
27018,9436,1,It's Christmas So We'll Stop (Choir Version),It's Christmas So We'll Stop,The Pretend It's December Choir,2007,It's Christmas So We'll Stop (Choir Version) It's Christmas So We'll Stop The Pretend It's December Choir
27018,9447,5,Bonafied Lovin (Radio Edit),Bonafied Lovin,Chromeo,0,Bonafied Lovin (Radio Edit) Bonafied Lovin Chromeo
27018,9476,5,Don´t Believe The Hype,Oi Oi oi,Boys Noize,2007,Don´t Believe The Hype Oi Oi oi Boys Noize
27018,9702,2,Trouble,Trouble (B-Side),Coldplay,2000,Trouble Trouble (B-Side) Coldplay
27018,9771,1,Swing_ Swing,The All-American Rejects,The All-American Rejects,2003,Swing_ Swing The All-American Rejects The All-American Rejects
27018,9989,2,Watch The Tapes,Sound Of Silver,LCD Soundsystem,2007,Watch The Tapes Sound Of Silver LCD Soundsystem
